,Time,1-cell,4-cells,8-cells,16-cells
0,0.0,92.0,0.0,0.0,0.0
1,24.0,59.800000000000004,52.0,0.0,0.0
2,48.0,0.0,220.48000000000002,133.12,8.32
3,72.0,0.0,767.5200000000001,453.44000000000005,16.64
4,96.0,3650.3999999999996,0.0,0.0,0.0
5,120.0,7031.0,0.0,0.0,0.0
