,W,K,Threshold,Effect,Flag_consumption_model,Init_conc_comp,D_comp,Deviation
0,0.055266893009126496,9808.958280900113,0.8026783559653798,0.9444895667035004,1.0,1.0,4.831324595489267e-06,3906.479587245328
1,0.00913505896008526,8991.66549744833,0.023033039107777518,0.018450289243681296,1.0,1.0,6.109309176840419e-06,16009.872691038629
2,0.0070222432717062,6248.8297148903175,7.876003057777063e-05,5.224682443073911,1.0,1.0,1.050712570543128e-06,16011.4218148533
3,0.03892082149935902,652146.1925117903,0.012481685148976213,2.1042194323352605,1.0,1.0,0.00021370783567394613,3682.893844570068
4,0.03915374807116385,450121.2126545487,1.8270937558584567e-05,4.038432992372378,1.0,1.0,0.0005187564673735536,3668.633828723907
5,0.00590789708287654,11235.504909510752,0.0005272229071557114,0.0003666880931324149,1.0,1.0,1.8543693237892293e-06,16016.465908825052
6,0.05426914805599115,10115.299035501359,0.7246912541639601,0.33492607369243776,1.0,1.0,7.25737476691891e-06,3813.424452931341
7,0.05594068681734929,9357.694997020368,0.00515837750087166,0.2715376334317405,1.0,1.0,0.00011937536407696853,3967.925931247882
8,0.011050198747396735,51306.7293798878,9.481705543753136e-06,0.00024291229223652157,1.0,1.0,2.585614385684201e-06,16023.442454418919
9,0.03652908859611893,3188938.698087492,0.7582503774337043,5.906416422105909,1.0,1.0,0.0008431605147547772,4736.868823525428
10,0.008534949410154596,2285.675331270918,0.02092042260615698,5.227681594464208,1.0,1.0,1.2058848653715877e-05,16014.360076575733
11,0.007679980685671845,24255.075469554857,4.6575296470809633e-05,4.798638964852922,1.0,1.0,5.412448279779087e-06,16007.308083461436
12,0.005897935124372597,48225.163007029856,4.6190255758757316e-06,0.001170759774681794,1.0,1.0,2.044567965891556e-06,16014.620096700892
13,0.011154471876715888,3327.6303414200165,1.56292074214268e-05,3.2582223556302363,1.0,1.0,4.162522366103876e-06,16018.56281467999
14,0.00722833024551583,74061.58713026227,4.1939935356411785e-06,0.3510161276866046,1.0,1.0,8.860539194367432e-05,16007.545460682268
15,0.006079685325199915,12659.696786301123,4.188710820321408e-05,0.00010306571147136194,1.0,1.0,5.217177978106344e-05,16014.79547416363
16,0.009378265978995859,2085.0592281905037,0.01514892334145915,0.00023734138257242357,1.0,1.0,9.867658898974941e-06,16014.87020882559
17,0.007913609570017618,48150.310953985165,4.5524517278396485e-06,0.0006228298584410899,1.0,1.0,0.0001566966455200085,16006.95087825809
18,0.005857784293843029,45452.6122078846,0.0029263155880326873,0.001857209067873817,1.0,1.0,1.3078527755769546e-05,16014.988853531648
19,0.05437301695992036,9822.409102721618,3.223101452448178e-08,0.3044700446342659,1.0,1.0,0.00040355675643110017,3862.3474376878758
