,W,K,empty_0,Slope,P_comp,D_comp,Deviation
0,0.045530524531034816,10769.823894115727,0.0,3.712847803004127e-06,1.0,0.029348449519052237,4335.137027278147
1,0.04712715135513428,9944.849372752804,0.0,2.851096905518773e-05,1.0,0.6066968491955834,4438.482504400992
2,0.035421358614551895,2231566.12766048,0.0,0.0003056709001378137,1.0,0.056493886499478035,5041.713577303948
3,0.04324516044299158,6606.071107201143,0.0,0.002713529401925468,1.0,0.10549337018629394,6701.348335924477
4,0.046619440065967216,10243.731785433729,0.0,0.00017026386850870862,1.0,3.7188978754126074,4415.61858248824
5,0.03978739658706986,23866.49322384482,0.0,3.1800953870877644e-05,1.0,0.34092709608768,4315.938212249437
6,0.0465878625364956,10173.110820270032,0.0,3.495325527756101e-05,1.0,0.7335929666348657,4413.517899744861
7,0.05568888266172965,9781.752237764664,0.0,0.006417165614101236,1.0,0.10451612586726483,9965.83185435548
8,0.046013794102254035,10720.16695779318,0.0,1.0157553218159828e-05,1.0,0.17366813442746332,4356.157883402337
9,0.04324962109025658,12617.187761711153,0.0,0.0007704536791159237,1.0,0.01683451271513109,5116.294295352782
10,0.04628089578453598,10397.035155723726,0.0,7.179143856668896e-06,1.0,0.10806351118626413,4357.291443597315
11,0.08227423819147313,4161.266714689809,0.0,0.003532962252635926,1.0,0.04312206729173616,12228.629132405127
12,0.04211354868019509,7624.2629057462855,0.0,0.0017557632914317444,1.0,0.05992348925577809,6340.991838774705
13,0.0463441177742877,10345.750914532635,0.0,5.253980637744748e-06,1.0,0.06926986675785629,4360.611097472282
14,0.038425526227657436,41737.189976866,0.0,7.95924985086253e-05,1.0,0.859158244830028,4382.479093777193
15,0.04608897099396327,10585.545599943283,0.0,5.1961054292816285e-06,1.0,0.0643831017119153,4341.368113863807
16,0.04840873081024871,4707.110958541722,0.0,0.004910492598414726,1.0,0.19394903121634427,7741.7112483383535
17,0.0459736972720029,10527.85248612609,0.0,2.9262181584332087e-06,1.0,0.009655296478682357,4369.492138924081
18,0.04647948436224896,10368.9475985339,0.0,1.670106321031899e-05,1.0,0.3195401988123921,4389.662945358186
19,0.035983741050137553,2992468.1090248213,0.0,0.007974277669920541,1.0,1.0602544021594824,4815.371064907312
20,0.04596612988901354,10594.093237651783,0.0,6.947367528090128e-05,1.0,1.4255422452973852,4379.813295475303
21,0.0467392927993495,10119.557059604875,0.0,0.0001036795907377934,1.0,2.264031337293353,4423.478389378584
22,0.031758365451586744,7516906.214825506,0.0,0.0005372616691151403,1.0,0.03450479150560612,7766.3853629257255
23,0.039241650317275084,29614.047212519465,0.0,3.0220743757331018e-05,1.0,0.3254768372304647,4339.299238039572
24,0.03667372927287023,489284.93049233116,0.0,0.0004927532592517429,1.0,0.20937435274015584,4732.7204718656685
25,0.046150293239623004,10277.398471521376,0.0,3.1146290001986986e-06,1.0,0.01603721666543439,4377.453415929113
26,0.03996916441439891,23628.751569108463,0.0,9.380549169590487e-06,1.0,0.07422004486094327,4286.212144226249
27,0.07994751775386186,2458.086096700873,0.0,0.0004806208426615808,1.0,0.011126290080245745,11485.338458982113
28,0.03689110929435395,24517748.250206053,0.0,5.959718165977382e-05,1.0,0.5284686196604376,4484.633913308731
29,0.03982295602262378,23050.823276372863,0.0,4.252351670509339e-05,1.0,0.4660755238400542,4318.1626239168545
30,0.045854776361281914,10429.791532203559,0.0,2.7274030551079074e-06,1.0,0.004888559606446969,4383.108495279425
31,0.046385875793461456,10502.890467340816,0.0,1.4564040383311112e-05,1.0,0.2758479808540151,4384.465513349117
32,0.03694676616007775,11480666.36109376,0.0,9.881101899717327e-05,1.0,0.9703527726598686,4486.3635065285325
33,0.0470234540643792,9963.573870654063,0.0,8.847412830612338e-05,1.0,1.9590217214776102,4439.721882514765
34,0.04763017256974543,9684.43298112522,0.0,4.0177721254889694e-05,1.0,0.9095888547474552,4477.092593543199
35,0.04216941498513725,15028.698942412451,0.0,0.0001206824683171008,1.0,1.7066657867270347,4277.185245535839
36,0.01975063578499256,525202.4844945702,0.0,0.005882319673598743,1.0,0.2627043197379416,13688.021923619785
37,0.047081221564986495,9973.63669986158,0.0,9.872636626772136e-06,1.0,0.1817302203756304,4418.588304667292
38,0.04697706306093498,10137.869362843365,0.0,4.682000335871769e-05,1.0,1.0264413724317816,4433.384324192123
39,0.046575049498449615,10208.782078979464,0.0,1.1241976464439611e-05,1.0,0.2099891402668003,4399.532518619709
40,0.04617369654240329,10491.889313516629,0.0,6.855594924432801e-06,1.0,0.10663155215306132,4361.8492310965385
41,0.03492675449352987,13090.519442231716,0.0,0.009248294644697038,1.0,0.03230061469733138,7631.309070123056
42,0.0465387969237397,10295.382847644869,0.0,7.99994599777187e-05,1.0,1.7098009196494617,4408.20020284645
43,0.03725187864846548,165139.27789279015,0.0,4.2036462320001417e-05,1.0,0.367868499197824,4456.919318411053
44,0.046453498624599236,10306.570923651998,0.0,1.9110094294844555e-05,1.0,0.3844449383232328,4402.298701399946
45,0.046774988937776235,10019.84345191281,0.0,4.063751795930447e-06,1.0,0.044438962615702716,4391.521092622887
46,0.0463035949700133,10441.184536112141,0.0,3.7090509347605453e-06,1.0,0.03211428054423246,4362.4495679422635
47,0.04664342881211538,10243.808924125035,0.0,1.4193771107080796e-05,1.0,0.2677305922494956,4396.320858677955
48,0.04320320566512962,13793.388416586818,0.0,4.653768302898118e-06,1.0,0.034734404333208124,4249.38907032019
49,0.04589766070259437,10593.581829533847,0.0,2.9357033950642394e-05,1.0,0.5728769842470386,4371.834032482134
50,0.04559129413930761,10891.469746446925,0.0,3.007811976231054e-06,1.0,0.009886597513234566,4346.30961531413
51,0.03856806717295092,36445.1072678654,0.0,6.476129665450059e-06,1.0,0.02541388375919715,4339.760577325797
52,0.04684625005216765,10119.17890482977,0.0,1.3725593423158765e-05,1.0,0.27007075534609026,4416.0609365455775
53,0.036801160963039266,3618799.4674391006,0.0,1.1793757142181315e-05,1.0,0.0609549836015979,4463.799720604305
54,0.046920976210896505,10062.363028203234,0.0,8.590908558933132e-05,1.0,1.887335373669292,4431.534969431004
55,0.04619000545762797,10459.545159845191,0.0,5.807374237026099e-06,1.0,0.07956025826994771,4350.873346395683
56,0.032948760827029036,27143807.50946044,0.0,1.1748408405565038e-05,1.0,0.002305869197723884,6789.7110760854775
57,0.04620282692825129,10253.565460063528,0.0,3.994395711030868e-06,1.0,0.038993525563932985,4364.779402303335
58,0.047535610778733126,9721.834343927656,0.0,1.2125361159288233e-05,1.0,0.2474610355746833,4461.742742000622
59,0.036865343443074114,6021294.0268313335,0.0,1.0936737211207744e-05,1.0,0.04656308033251385,4474.0092148940885
60,0.036860921185427685,7330869.721232795,0.0,7.936741239836129e-06,1.0,0.041509103784629964,4455.374434784721
61,0.04152885449617715,16974.980934704312,0.0,5.2903817512564856e-06,1.0,0.03267078916933274,4242.732030072276
62,0.04714315452512334,9940.670214889193,0.0,7.44800051113211e-05,1.0,1.7016224368734516,4454.527405218912
63,0.04657286861355281,10117.459234253267,0.0,3.6812383687473336e-06,1.0,0.03309153520330265,4382.9256250797225
64,0.03522534101413735,2652308.4233270567,0.0,0.006142104028245077,1.0,0.4723578020846403,5146.375249930835
65,0.03354992709973155,5686230.806315122,0.0,0.004963232779732879,1.0,1.2875220946053592,6334.59397520749
66,0.04596499395971361,10510.24091411624,0.0,7.601612285380797e-06,1.0,0.11863397065100313,4353.541977127505
67,0.0463081146286168,10346.160221347209,0.0,5.2565616500010065e-06,1.0,0.06887886552058049,4358.9747167792075
68,0.0463594903577504,10531.344778084076,0.0,0.00014589781623505882,1.0,3.1262997089114046,4397.931867011302
69,0.046757846009188565,10164.772553233506,0.0,0.0004752601640934044,1.0,10.680718115303533,4428.651169856581
70,0.03681305279315159,4031543.478507838,0.0,1.1147667001392822e-05,1.0,0.07319359962288907,4459.655163521988
71,0.04570452194936244,10773.539730284698,0.0,5.486784932518436e-05,1.0,1.0926102976648813,4365.022555350858
72,0.04608006202335807,10456.463499611296,0.0,3.5630975105685487e-06,1.0,0.025333331703599197,4353.545811362379
73,0.04603339875974141,10392.728623263572,0.0,3.601540673998047e-06,1.0,0.02834541698363332,4358.898404083922
74,0.036498583326494416,10529357.141647538,0.0,0.00048360612471684246,1.0,0.4748716638639867,4724.746055196483
75,0.0367477327781439,14492948.73730584,0.0,0.0002200098202275546,1.0,1.785841085398752,4495.941652666159
76,0.04569384812136538,10809.529667725528,0.0,3.22773348073049e-06,1.0,0.01608577928362091,4342.942220900133
77,0.04712658374735535,9901.292207797527,0.0,5.1025334481823485e-06,1.0,0.07265284868617959,4409.94768420875
78,0.04648752066608281,10270.37223708157,0.0,1.0522411807310173e-05,1.0,0.1855009522761195,4382.8603732196525
79,0.04194374887534343,15536.373472208692,0.0,7.209511176482536e-06,1.0,0.059522450800576075,4238.548107311781
80,0.0364326153210962,1649211.792837924,0.0,0.0028217512596046177,1.0,0.3189355971732153,4739.448806848113
81,0.036751464087467454,3670945.499787617,0.0,2.6135980675237288e-05,1.0,0.22043704426384805,4477.915447670556
82,0.04654630687477549,10172.560344350473,0.0,1.265202511022054e-05,1.0,0.23536037478927466,4395.7299882941825
83,0.046995440745828634,10039.39256700746,0.0,3.467285991349188e-05,1.0,0.7354907792760499,4429.495676621405
84,0.03994934653158915,18856.706529504245,0.0,0.0012563267306541395,1.0,0.012633184766972706,4811.503992956424
85,0.04661029035244457,10283.392929092764,0.0,1.1247138221216696e-05,1.0,0.21264563155133548,4401.142128904038
86,0.04711922560596914,9935.15206437802,0.0,9.943425185629434e-06,1.0,0.1881132659788016,4427.911761731463
87,0.04663978114955191,10070.357136978997,0.0,1.0815665947410913e-05,1.0,0.1939701836103408,4396.903631111941
88,0.02967894786063168,2469765.9787114924,0.0,0.005365809229078576,1.0,1.5273184259054435,9291.06476621556
89,0.059659259814114636,5538.749857413275,0.0,0.0033951699525720525,1.0,0.0703836879445437,8512.464761180285
90,0.038492986144231404,326288.09126783314,0.0,0.001212771535703704,1.0,0.02046587462296369,5760.263234930968
91,0.047274585618991415,9880.382915581102,0.0,4.6605469158620257e-05,1.0,1.0307070863935155,4451.630182032494
92,0.04280572733638943,14359.347136025488,0.0,1.3081438903116087e-05,1.0,0.1719617772669572,4258.37446293528
93,0.04696506729483161,9870.9522507086,0.0,5.657534036903698e-06,1.0,0.0836864071608043,4404.240855271418
94,0.04649531172093724,10183.663039938654,0.0,7.043335010980446e-06,1.0,0.11155111751280362,4379.477977169443
95,0.039069782528318164,31759.872593143366,0.0,6.789531829365253e-05,1.0,0.7511436804300209,4353.036922917768
96,0.046947780725284285,10056.936292774491,0.0,8.209945936971e-05,1.0,1.8479298738573455,4440.408881142578
97,0.0460476816538005,10708.800967409843,0.0,2.0205700776389887e-05,1.0,0.3834929791357152,4368.284571570393
98,0.046566468033658916,10329.499866893771,0.0,3.3681785353131186e-05,1.0,0.7107502759235368,4409.4658866584
99,0.04543597110561228,10952.744496990948,0.0,3.8466571143103746e-05,1.0,0.7478018079863733,4354.633597575754
100,0.04732702458875804,9808.093695117892,0.0,1.4264116080519018e-05,1.0,0.2950359664163089,4452.567595149811
101,0.03493301644941048,3878381.04335353,0.0,0.0005448016320933609,1.0,0.20372841570297512,5316.812166731108
102,0.03498791992375784,634185.7428125789,0.0,0.0008053093736853329,1.0,0.015864104881629502,5322.850026966114
103,0.04692580488535695,9898.283646679853,0.0,1.3221926310826112e-05,1.0,0.25532715289194097,4422.946988387654
104,0.045887724549391835,10813.54348549961,0.0,1.4945005429153241e-05,1.0,0.27409247494821104,4359.073251006868
105,0.04641820152680328,10103.05333287062,0.0,2.9509622932580775e-06,1.0,0.013676205836835676,4399.386068602653
106,0.04204886076249106,15273.68939355086,0.0,2.2997438479750268e-05,1.0,0.2947147958189028,4266.439091987668
107,0.046403573173418505,10450.157235639885,0.0,6.895936122056872e-06,1.0,0.107519841183868,4367.448164164588
108,0.04086004667318339,18696.766809383178,0.0,4.312069658623095e-06,1.0,0.0020141704887433206,4275.313268090712
109,0.046142210238806734,10317.118185248451,0.0,4.211588964873636e-06,1.0,0.044135678702962235,4359.5013101945815
