,W,K,Scale,Min_effect,Max_effect,P_comp,D_comp,Deviation
17,0.046047662633019536,10500.176303829305,35301.55183785245,9.365371158257106e-05,0.19083726544380186,1.0,0.03866431012713782,4528.6428135688175
18,0.043663864255710234,12631.176810640312,13.07598332870172,0.047035674086912525,0.1204415323919916,1.0,0.2647606342489253,5039.784507455397
19,0.043782739122006316,12091.692131598416,107.83345024168585,0.11639327324284755,0.12624920425424538,1.0,0.035002830338185686,5050.112293563621
20,41.779392781881135,2291.445858928561,558.069341338046,0.17730082706599595,0.011699139030210793,1.0,1.3587335773831577,11682.742890667492
21,0.04258090575504416,14262.941848852688,93332.4742756326,0.00011543952223425046,0.38808008789927984,1.0,0.0008169549762753051,4351.0251975143065
22,0.04094851178064434,17266.181776048033,11.076898618530231,0.16140490340233146,0.21517925652050215,1.0,0.019535476459619155,4845.6449688268685
23,0.046564428442628536,10256.715827566464,21316.03622100849,0.00045064530270079336,0.2340077174624254,1.0,0.1481746786364057,4526.892866214147
24,0.036484233940060125,1272118.8775820006,158.8506329827167,0.022547558763964717,1.9127922820328256,1.0,0.054439579992416616,4738.701427898492
25,0.04369693980130507,12590.999081194643,6.957318071577412,0.7848898000721216,0.11844488673570293,1.0,1.5711006584569367,5046.051750910159
26,0.042953641642687335,13674.80742795562,5.6674541282940885,0.0005724116956276585,0.12919387659400508,1.0,0.02864433857891742,4986.89319836603
27,0.04614721531979974,10591.841698856992,23495.389048562807,0.000280117844583437,0.1757509176890978,1.0,0.06846544054032358,4550.841402807661
28,0.04366398316520702,12414.42144547535,28.45145534967084,0.00038907051055021803,0.12152614148417347,1.0,0.09528572289629064,5044.676546165603
29,0.04337865095190722,12797.908014788383,16.245597435134002,0.007106087113042501,0.12387431020227775,1.0,0.0706728607334672,5024.586510091746
30,0.04345064513329415,13153.41271895348,1.4287890642207388,0.39056492365995693,0.12094352095368578,1.0,0.07327778908298539,5022.96656907817
31,0.0431902254138728,13053.854711042402,2.0757311776659897,0.0001357428075315806,0.12506853353346772,1.0,0.7321882005366999,5013.2711635862515
32,0.036448090880270026,5253139.897819506,3.174669490075845,0.006279472450296613,2.5857019767312184,1.0,0.04169541084839962,4738.815824520048
