,W,K,Scale,Min_effect,Flag_consumption_model,Init_conc_comp,D_comp,Deviation
0,0.037583051512804236,484081.4356176782,15.052237970887495,0.00034547020811814724,1.0,1.0,3.426281628356195e-06,4061.378051196887
1,0.04751328350477697,10552.482271591902,7.189168664797242,1.3750162704301416e-05,1.0,1.0,3.260328502196395e-06,3889.183798414833
2,0.03924034976300634,42555.80420768372,2.232504186635766,0.00024287985540165523,1.0,1.0,9.298484633270184e-06,3991.259449437205
3,0.0427280032536476,16307.41557715526,3.0793085091060064,6.11836415880954e-05,1.0,1.0,6.55555591370943e-06,3822.602012483305
4,0.04569902441331068,11781.642925798742,0.8406142186762603,9.490520425449084e-05,1.0,1.0,1.1981034485138482e-05,3916.8524702856294
5,0.04052481187737216,23646.490839636837,1.7367154060230237,3.3662971706167e-05,1.0,1.0,1.040781891476778e-05,3913.6766372945103
6,0.04476097042760482,12805.461634313198,1.3314362893979896,0.000228432958422898,1.0,1.0,9.66125879266668e-06,3865.520837500835
7,0.04667276969335325,10801.886178949671,0.4326884155619595,0.00023227154914823715,1.0,1.0,1.7540559864474498e-05,4036.699429814188
8,0.046395468986907835,10997.600098828609,0.3512656534659881,0.00016002039435063453,1.0,1.0,2.087062125197212e-05,4054.9521858355242
9,0.03721297645134936,4258932.839567673,1.4730991423649402,0.00023221312228173638,1.0,1.0,1.373657684933891e-05,4144.94213876377
10,0.03649400807344292,10275794.831664514,2.2022026989217665,0.2480609759270047,1.0,1.0,0.0007822692495683555,4737.6616734611825
11,0.04491514962431774,13040.255099559115,23.972891745413516,8.078458556811273e-05,1.0,1.0,1.942044984048396e-06,3784.264873647153
12,0.036506750590257854,3176948.612086468,6.8992399517420795,0.005490335992259379,1.0,1.0,0.0006783249921690253,4736.860059110904
13,0.03938529770049748,36373.346136215965,1.0389605396862764,0.00014271453035299937,1.0,1.0,1.5293608116858394e-05,4015.7584180581343
