,W,K,Scale,Max_effect,Flag_consumption_model,Init_conc_comp,D_comp,Deviation
0,0.0499611292468498,10670.530740126494,31.19743533311221,0.1811659884307764,1.0,1.0,0.00010641240953541259,3729.568680823917
1,0.005879605534034402,41198.97912101884,0.27077612977720605,0.0014173600684147954,1.0,1.0,1.8248103856779448e-05,16014.869162370853
2,0.03662216033329685,2031666.2625801568,0.08224552691122941,3.139679170316037,1.0,1.0,1.1409624977838102e-06,4739.519266187588
3,0.05325794384548522,10002.618113751425,44.183548836974104,0.21058083458530094,1.0,1.0,7.839114230430112e-05,3911.727372604992
4,0.03665782603364203,3226404.2119382187,0.023752397006768157,1.5758071075287146,1.0,1.0,0.0002410201061354668,4743.131380453213
5,0.05076361377334146,10340.799222976071,763.2585167925749,0.18544045788423205,1.0,1.0,0.00015812690179630828,3763.665027320398
6,0.008873647279217745,1689.8769705855254,1.2618301908442413,0.00014724291202823563,1.0,1.0,3.0049713556386463e-06,16018.176387947567
7,0.04454462013398447,22097.705910456327,5.747788659544027,0.6590696443317566,1.0,1.0,3.643785677659777e-05,3715.59212981854
8,0.00788835811902069,60804.50958074282,0.07540395991039063,0.0004511072823671258,1.0,1.0,7.466856185901184e-06,16006.892205792652
9,0.01099967148661956,3479.9768204190664,5.629716774012705,0.6427934539752151,1.0,1.0,1.5464289323398894e-06,16017.819873321534
10,0.05018838248875155,10362.790243646203,7.990839254997015,0.20196296388328164,1.0,1.0,7.545512978020862e-05,3744.74300314199
11,0.007328499667601567,34965.0962776699,0.7306369278985769,0.00031535303786714517,1.0,1.0,7.839481459968428e-05,16007.602002266392
12,0.04928997965341979,10574.955150668093,0.6300798138286733,0.332087088149575,1.0,1.0,1.5587606089546622e-05,3670.873781906073
13,0.010136890198974605,10254.133355667258,7.3773731451968585,0.013150915611674944,1.0,1.0,1.6436192812310992e-06,16014.615035536315
14,0.03952225237853089,24345.557872708912,0.010823361292873798,0.3176962966887897,1.0,1.0,0.0009709239571007248,4778.3644878112955
15,0.037661763865368576,58633.62576098875,0.027316654662690797,1.0748439051480536,1.0,1.0,2.4934029345201682e-05,4734.840849340125
16,7.617554465189266,2612.4499146024514,0.03987515853584131,0.021373501916453853,1.0,1.0,0.0016057945825522476,11221.869080384104
17,0.04796254848845302,12075.451576311347,11.790729445959116,0.2606871954935437,1.0,1.0,8.118222559997049e-05,3610.8148444208728
18,0.011052722201614223,1351.9238480924596,0.06862520186109212,0.00019797676214080702,1.0,1.0,9.500345064933858e-06,16022.094335623717
19,0.007560910357748069,9179.01598560476,5.575902539971005,0.10446915981428424,1.0,1.0,4.789437699049224e-06,16008.647163444599
20,0.007303913511668211,5958.55720786144,0.13353309082814335,0.01126533088099778,1.0,1.0,1.1889803615992226e-06,16010.56081842925
21,0.007733151358158048,6300.852789471602,1.50948739120049,0.0009732406445704344,1.0,1.0,7.474268501717354e-06,16009.312405843642
22,0.0494698034487489,10789.77093875335,4.466843826307949,0.2011358845515483,1.0,1.0,6.800144939185947e-05,3698.8484554896568
23,0.012165306313348322,1621.1030946204419,2.574057481617899,0.001010819610694793,1.0,1.0,1.4813197487381265e-05,16022.613134306215
24,0.03669796248877763,226466.2109363647,0.07437438704697719,2.0602831846007863,1.0,1.0,9.126679457415908e-09,4735.586720226737
25,0.05388217711194136,9692.421464812222,23.641285826001806,0.21300448532361474,1.0,1.0,6.838580508601642e-05,3941.3060334007832
26,0.009114578682457887,4444.807397092666,3.7402596566943167,0.00040444978307751074,1.0,1.0,7.276968716019773e-06,16010.587981622055
27,0.007125985826162276,15503.132315539175,0.11524008219938625,0.0032060031824465373,1.0,1.0,1.2286966404282249e-05,16008.835600694309
28,0.038665611816889336,31294.03859673837,0.013686598236154441,4.514472676046858,1.0,1.0,4.344050410832525e-05,4747.720015761514
29,0.03648735431871266,9291732.984189266,0.04455773999335042,4.750268930036293,1.0,1.0,0.0006802433408259031,4737.362410920177
30,0.03966746778516283,91349.798796501,4.2646804501969,0.35305174894186675,1.0,1.0,6.952680189469787e-05,3720.6847791223454
31,0.03663245156437042,9159531.837565456,0.013620290740558979,0.8794080500589408,1.0,1.0,0.00018071807160773283,4743.724316821439
32,0.039054915405416175,24862.195488451118,0.05290364935446658,3.4840993775447067,1.0,1.0,3.616235215348201e-05,4762.197865235713
33,0.010691362802245166,9457.491152517625,1.7717496498370104,0.00015564888997281838,1.0,1.0,0.0002483862334072297,16017.68571921637
34,0.006733313492679194,32651.666481038053,0.013176749400427774,0.0016857764694996765,1.0,1.0,1.6692000573448705e-06,16009.589540829958
