,W,K,Effect,Flag_consumption_model,Init_conc_comp,D_comp,Deviation
0,0.043151635597903526,13130.631860407182,0.0,1.0,1.0,0.0002927695202717371,5011.461759216879
1,0.03648571160874111,12381059.118528035,0.0,1.0,1.0,1.8152994379245758e-06,4737.277351173552
2,0.04246714131883692,14270.057665642957,0.0,1.0,1.0,1.8865366669845588e-06,4950.701739023113
3,0.03650697077184913,3963109.1886623683,0.0,1.0,1.0,7.181777621267116e-06,4738.496190527628
4,0.040672908379887684,19005.131547224686,0.0,1.0,1.0,2.736417415893427e-05,4830.72451410738
5,0.037687752739426886,53605.97055063822,0.0,1.0,1.0,0.0003238721492795207,4731.5962370423085
6,0.043820110102141735,12264.604306958636,0.0,1.0,1.0,1.290220345248757e-06,5050.508891833452
7,0.03791322994570572,45950.46009477505,0.0,1.0,1.0,9.16009010782374e-05,4734.2858553639535
8,0.039232677480380236,24980.36244150605,0.0,1.0,1.0,0.00014514157721492126,4765.8481707915835
9,0.038401501120625486,35014.476431521914,0.0,1.0,1.0,2.47194150727433e-06,4741.582233473543
10,0.008454089940596463,2003.3989738602331,0.0,1.0,1.0,2.642338316748261e-05,16014.39236567062
11,0.04253428046208451,14168.50200844999,0.0,1.0,1.0,6.854571368094538e-05,4958.562619573078
12,0.043316487691502745,13000.433896117342,0.0,1.0,1.0,0.00039052942268155564,5021.254221474725
13,0.03639736817917805,28862113.90361837,0.0,1.0,1.0,1.3960437703788209e-06,4740.417740055553
14,0.04412119884177919,11948.520431824072,0.0,1.0,1.0,1.879908336770269e-05,5083.1133103161155
15,0.04360023830382505,12839.93364203257,0.0,1.0,1.0,3.433198460849636e-06,5027.3994922538295
16,0.03649750068189107,1463652.0379049894,0.0,1.0,1.0,2.6250231716870485e-05,4738.507644767214
17,0.04403042933565262,12289.7740616172,0.0,1.0,1.0,0.0006427850840461938,5061.616399167966
18,0.040861561642206966,17949.932724136776,0.0,1.0,1.0,2.5481023568329528e-05,4847.874648642871
19,0.043415467787557484,12713.029067808433,0.0,1.0,1.0,1.0049196089844693e-05,5031.02112354026
20,0.0365593671766672,31591825.467523765,0.0,1.0,1.0,9.423656280964094e-05,4738.178187222357
21,0.03934944918306491,27210.102212523398,0.0,1.0,1.0,0.0005756750443334852,4791.091705488072
22,0.03654495131639714,4643715.417459094,0.0,1.0,1.0,1.5087539396478796e-06,4737.4538205199015
23,0.00719524585413375,90212.41434360953,0.0,1.0,1.0,1.5018103563629593e-05,16005.563177189306
24,0.039623280130665205,20951.875894950783,0.0,1.0,1.0,0.00025430359902896006,4787.171254544871
25,0.036613901202450734,1142181.317662985,0.0,1.0,1.0,1.2171549043878798e-06,4738.7680859003995
26,0.04398997186725772,12286.749127978606,0.0,1.0,1.0,0.0002075772901853421,5063.540683631387
27,22.616859089812603,2334.987065370831,0.0,1.0,1.0,1.0417246969198495e-06,11605.669918057914
28,0.03660566499006399,3475490.929896704,0.0,1.0,1.0,6.631637319603548e-06,4739.423295273445
29,0.04121270960681697,14727.255932805494,0.0,1.0,1.0,1.4771439229468719e-05,4905.857917534397
30,0.04231915261039619,13860.802726615071,0.0,1.0,1.0,1.7501107699968038e-05,4930.614297700135
31,0.043177048039226014,13104.037119890168,0.0,1.0,1.0,0.0002197871162942994,5010.580476423427
32,0.03801566558022504,43403.60634149785,0.0,1.0,1.0,2.503245917824197e-06,4735.125495795823
33,0.036515354932585994,9677773.339979244,0.0,1.0,1.0,2.16973628655688e-05,4737.771811429823
34,0.040579384595662,18127.59695008724,0.0,1.0,1.0,0.000624529314047096,4823.703873870751
35,0.03648342317355634,3663899.3579302835,0.0,1.0,1.0,0.00022879295839994682,4737.869956145194
36,0.03654688933522865,1797261.8108708188,0.0,1.0,1.0,5.2434915542372336e-05,4738.154748550124
37,0.040377489465785364,17263.124097475986,0.0,1.0,1.0,5.245302219288906e-05,4837.076703769082
38,0.04365125695755388,12479.824540436453,0.0,1.0,1.0,5.193756474534599e-06,5047.8591051582725
39,0.044531436230448085,11765.041015538916,0.0,1.0,1.0,7.960153578332623e-05,5105.857034283519
40,0.043622361427169895,12486.996181854707,0.0,1.0,1.0,0.00010685870733522732,5042.02468797706
41,0.03980587041056898,20240.210124172256,0.0,1.0,1.0,1.235589214345039e-05,4794.185001594708
42,0.0365653236561619,5209606.52510263,0.0,1.0,1.0,0.0007958704742098867,4752.795049146394
43,0.006976426743259401,20740.732728359384,0.0,1.0,1.0,0.0009719954981664353,16007.10632902185
44,0.0364721862179466,790289.2904551334,0.0,1.0,1.0,4.5988903039595894e-05,4740.232124806602
45,0.043935149014669286,12078.916685738748,0.0,1.0,1.0,4.231073953391168e-05,5068.697800669297
46,0.03642213959185522,13327687.352449626,0.0,1.0,1.0,1.3913915485645457e-06,4739.726398445374
47,0.044017120199652884,12353.033513733648,0.0,1.0,1.0,5.470885277625527e-06,5063.625756768297
48,0.03646437350573572,4934699.949354306,0.0,1.0,1.0,2.332470851118465e-05,4738.706795310709
49,0.03650856105594776,2993841.8531759204,0.0,1.0,1.0,4.835615722761756e-05,4737.036223122472
50,0.010927318056402695,3113.0192272727254,0.0,1.0,1.0,6.586076621585468e-05,16009.904286115338
51,0.04070386083637115,16192.185599918765,0.0,1.0,1.0,7.020095069134965e-06,4860.821052142977
52,0.036494166972799134,7413773.810648581,0.0,1.0,1.0,0.0001295621434576677,4737.276997350409
53,0.04298916418736845,13350.13790455302,0.0,1.0,1.0,1.5997481951012536e-06,5000.364975080299
54,0.0364809751807596,1266131.275864369,0.0,1.0,1.0,3.0042146881316132e-05,4738.763471422068
55,0.03658008746897715,3197994.584241713,0.0,1.0,1.0,2.5056947356821737e-06,4738.893661491751
56,0.036962236734480326,149873.61378844548,0.0,1.0,1.0,0.00020650026210726943,4734.9787752606235
57,0.04352652529301354,12719.140680958177,0.0,1.0,1.0,0.0008552267088298819,5024.174088817799
58,0.04049111274535288,16873.910204509597,0.0,1.0,1.0,0.00011307285425777944,4844.996071717192
59,0.043238471808739805,12953.125976005336,0.0,1.0,1.0,0.00013528701462602098,5013.609382041734
60,0.008125508382721268,88415.4660945538,0.0,1.0,1.0,6.2746613150682e-05,16004.687365131329
61,0.03642632391339299,1770663.436436319,0.0,1.0,1.0,0.0001886960280608098,4740.095162788142
62,0.036491096796571705,2716880.732020901,0.0,1.0,1.0,4.0299479011091414e-05,4737.2125010662685
63,0.04106910046073535,15028.254580301582,0.0,1.0,1.0,0.00020143400942682635,4895.088308413002
64,0.03902558032356234,26843.606663614457,0.0,1.0,1.0,0.0003172383340413899,4757.6241097014445
65,0.036566287037073486,5234483.152550677,0.0,1.0,1.0,0.0003956185534256823,4738.206130789276
66,0.04400913285810478,12032.764311403356,0.0,1.0,1.0,6.672099984316498e-06,5071.720757786035
67,0.04358273653118749,12955.388853939468,0.0,1.0,1.0,3.0246927173438226e-05,5028.982538160182
