,W,K,Scale,Min_effect,Max_effect,Flag_consumption_model,Init_conc_comp,D_comp,Deviation
59,0.04404841714957465,12083.523609756196,11.07794031000304,0.2932387147106183,0.09765858989897797,1.0,1.0,2.9087495969723363e-07,5079.064336829431
60,0.05233269352346148,10012.041513516175,0.028857209240704826,0.0010501911540449806,0.5309362376480558,1.0,1.0,7.486408507853457e-05,3658.0218602560963
61,0.037089602460032435,99304.46464961633,52.334192191631935,0.8656708823439953,1.892275399435372,1.0,1.0,8.060734943007693e-06,4731.520428863435
62,0.03741411413399701,1857994.7091918688,0.04464442120747763,0.014299885688961357,1.989701915249241,1.0,1.0,6.731458906409817e-05,4151.247516351648
63,0.07115974839467648,1720.5986032516064,16.72490239623678,8.482311461914414,44.25859760724781,1.0,1.0,0.0007320549399094584,12240.709927124217
64,0.039111631008732634,24949.91131723489,0.5388815368391873,0.028211798295484074,2.7551884797457897,1.0,1.0,0.0004889503412841201,4761.588178735563
65,0.04948196328674403,6552.6192516791725,54.11970751345761,0.025089734047951427,14.372797413921113,1.0,1.0,7.891833155703491e-05,6466.613667265471
66,0.053903819429334296,3922.9783944386204,0.13579999397338627,10.835124467707953,32.32851935077364,1.0,1.0,1.1420537265644921e-05,8588.488072896313
67,0.04092854407155138,85320.27887590542,42.746109494525435,0.07480844632957848,8.760736004638936,1.0,1.0,3.0624367983184213e-06,8324.416854045963
68,0.04050297493369747,30536.561815535137,0.11545759874166794,0.0007989493475178745,6.978815760046699,1.0,1.0,2.309633933296695e-05,3795.0119591719845
69,0.08373314859907942,3924.067864667481,0.06420804006437475,0.9667279014661141,56.72695552705232,1.0,1.0,4.228451044492161e-05,12161.334344056982
70,0.05196470359586768,8161.085585480593,17.615765755018987,5.97478710255576,8.741105766718759,1.0,1.0,0.00040000866939454087,7042.310773529624
71,0.02893720853467115,2752587.674072835,8.309259225074372,0.017062909193796737,19.51527197873433,1.0,1.0,2.547863968784252e-05,9776.006574716921
72,0.03856185822780392,34076.972146602224,11.900407890487678,0.013141964888709176,0.34402990494917024,1.0,1.0,2.9337330921182066e-06,4757.7662934290975
73,0.05111944413770093,10327.362383534139,0.04294301778679821,0.0014336030438206351,0.5831722313851212,1.0,1.0,6.554901560268065e-05,3623.083646625984
74,0.03714445392193697,1687454.6454730162,12.661382463657011,0.024901956154033584,9.94204484149756,1.0,1.0,4.394576344326246e-06,4851.778944190405
75,0.0377719820634406,3837007.184562674,3.6424309576025204e-05,0.012838391281176816,4.378865952330092,1.0,1.0,0.0002657542273981962,3989.433417205151
76,0.036879406498952605,2314911.626237536,0.08926823571469522,0.015195241826182187,47.834071944929846,1.0,1.0,1.9809354376913237e-05,4192.331644763142
77,0.06581943948881132,1331.9816892988474,3.52725997813582,1.5759166159484768,81.0036952065998,1.0,1.0,1.101878943906124e-05,13029.248393266176
78,0.0706634788592449,1498.2278551133802,3.8742663326293743,16.951188083083654,53.31796706137696,1.0,1.0,5.2117049455855483e-05,12686.129290970124
79,0.043218551813195887,12528.298143428603,0.14931200963193014,7.97233511557534,29.673166972978226,1.0,1.0,1.4577297253771136e-05,5108.368653560003
80,0.04050738871866755,50203.45978755287,3.0734222759093805e-05,0.0014905831831966507,1.510699120384018,1.0,1.0,0.00044134210881639345,3539.257304416915
81,0.04961262203843269,10722.833526445142,0.0824472319193324,0.000703549249039312,2.6412090333107328,1.0,1.0,3.4075023835799845e-05,3561.3555701545665
82,0.01604743805248579,88917.42859751232,0.3325512076175099,0.8501783786538161,80.36701815557666,1.0,1.0,6.082871990775644e-05,14530.7911640841
83,0.05018969038389233,10202.705943883104,0.08259066683678526,0.00015671986357428233,0.4412743804444999,1.0,1.0,5.5136480244722044e-05,3662.883324077492
84,0.029698554803668464,13602.022334739033,8.059145909111146,1.668142205852332,27.525635170841788,1.0,1.0,0.0005219950412761775,10355.607228246754
85,0.043217878090665816,13413.515869083409,73.60291620275517,2.411548183761248,0.08986285161779045,1.0,1.0,6.875342217280178e-08,5013.479432715644
86,0.053184274919986466,9896.804855610791,0.011268699182369816,0.0013355764536566856,0.4213738553724104,1.0,1.0,0.00010000405166601692,3659.946441026568
87,0.04201621183089885,14711.132658985896,29.699777165137874,0.01013920344505754,0.17321167807525087,1.0,1.0,1.8424499576503758e-06,4912.153060963136
88,0.04405025969650609,12287.459563217903,5.856457472516548,0.1456519111552276,0.10747063264506897,1.0,1.0,4.325407711431927e-07,5074.071163798062
89,0.03661314794838619,10849279.673860183,50.77906575509697,0.08213751077962164,5.010375884013765,1.0,1.0,0.00020431757686349342,4740.617055030672
90,0.06352397635895506,8043.972036074004,0.0710938360662045,0.990415361420539,74.24601666903573,1.0,1.0,0.00019269080346394685,11994.080656184453
91,0.0151330985023621,33545.87478278793,30.469804179133114,1.5818394605874466,32.65254405083035,1.0,1.0,9.719693371604491e-06,14713.071079063711
92,0.039120483932681936,42334.611466285314,0.004984337771187534,0.01557330263912314,14.363603281557179,1.0,1.0,0.00010753117504655232,3913.3060173610493
93,0.040141681903573916,18062.043048145242,18.14982216359259,0.0972947303114631,1.329421945151824,1.0,1.0,0.0001424828149144887,4823.005420068618
94,0.03556910063589296,7449983.043971835,6.128562732668057e-05,0.015075121777982698,117.29049314015622,1.0,1.0,0.000595480611916735,4820.15421049413
95,0.052569217504887834,10139.754645266708,0.015983170067082088,0.001224954744673269,1.0225043620916767,1.0,1.0,8.045993047453527e-05,3568.628201042477
96,0.03823398418640769,36743.667940568484,1.7460613463981702,8.74607928238278,10.699087384432637,1.0,1.0,5.8424873081573376e-05,4737.12357268424
97,0.04357731981001345,12919.62974816353,21.439135396161557,2.086413482622593,0.025457987334070536,1.0,1.0,3.107223804618165e-07,5044.486283035642
98,0.033795025160933266,2218649.894776149,0.22051392237589929,24.273446090304628,38.68990252815917,1.0,1.0,2.633600601729301e-06,6150.083488869856
99,0.03642965540231422,1428387.966114379,0.22702700387248956,0.028646937467013432,2.1812444881857576,1.0,1.0,0.00043233936039375917,4739.711034794458
100,0.04405487875811295,12291.481731864582,27.50238545795981,1.6393207772081562,0.11253724900525648,1.0,1.0,0.0025001013911422213,5076.08527124139
101,0.03838116283435701,99102.84608658287,0.14440048251361218,0.000845048186773166,0.9306670588205244,1.0,1.0,4.2213603601037896e-05,3964.2180067644263
