,W,K,Scale,Min_effect,P_comp,D_comp,Deviation
0,0.31641234312899225,2514.79466954528,840.056163753877,0.21844326919456689,1.0,0.062272607421324164,17014.23075469345
1,0.024076762777118774,6035.800101922474,813.6734744190285,0.01301158607105137,1.0,0.029838912451793206,13028.025803547172
2,0.04487058208523062,13213.088364570089,3182.0770050556757,2.732916081537052e-05,1.0,1.6302702874142414,3517.513854195412
3,0.1072020109933702,1019.1947573891016,115.9421447721413,0.34731033240684345,1.0,1.102738051656918,13969.369091240715
4,0.14971235331327787,1430.0789197408262,304.98038715309485,0.4155609723593587,1.0,0.23383408532376265,13593.59903818515
5,0.049279918402387234,9766.64184977798,1594.0450970759616,2.8076379097855633e-05,1.0,3.9993194122127114,3632.832579539116
6,0.049647917040473534,9705.92311949405,3615.801275850706,8.114260166659577e-05,1.0,1.7651718404731511,3652.359185013648
7,0.04839451936698014,10125.21098727431,297.70429782730946,6.643527760423493e-06,1.0,20.495931595262395,3588.232660755406
8,0.4229680177610865,8020.272530193005,7273.051829314916,0.0003906795068831312,1.0,0.019753790232050386,50802.81899857363
9,0.0027863032496260693,6362.717247711813,397.53709616409384,0.0003190314999174134,1.0,0.043699661247342814,16026.7258715934
10,0.01791587070402343,4003.3886094241707,34.99184829627034,0.0010067949694691114,1.0,2.9495433638253283,14501.222065697913
11,0.04989195145898927,9625.59567872753,2443.816034565301,0.0001113087032424911,1.0,2.6728631118832844,3669.537569338281
12,0.2706719173154862,1177.107007742547,935.048453580001,0.017731102352600052,1.0,0.08268762539432889,14369.309027056699
13,0.04886784272749959,10058.972565846196,7787.984627180995,8.651763476296563e-05,1.0,0.767740318661463,3614.0712683457855
14,0.017450784351976653,241665.16415425067,880.6637256958252,0.05046188885716832,1.0,1.184508263143192,14244.872880533383
15,0.026768047096359927,5314.4036848555415,81.18466720576103,0.0002585756506412779,1.0,0.4135319641573158,12390.063480368492
16,0.07518500289379401,1813.6772377687344,3135.574969818829,0.03934262315890088,1.0,0.017259369070968426,12136.436721265984
17,0.0010786909654888204,2429.488235671279,53.87868272665721,0.0010359083546098908,1.0,0.4831990882163028,16128.068318013533
18,0.049915812814276365,9658.603920130448,2941.380046245153,1.048647984329984e-05,1.0,2.213911074698377,3661.6514666360854
19,0.004179925448215258,3940.328443535167,97.39488361269329,0.0001602513575348236,1.0,0.07688327658051611,15947.432415382851
20,0.026513420259581418,45203.996846050664,2811.009906636519,0.00013388131532441808,1.0,0.089849554104745,11347.354242370779
21,0.049387386556160665,9755.016255481176,45814.19275377991,1.274775788928508e-05,1.0,0.09965745882897414,3685.46998388346
22,0.015604632145218988,1606.4613729314144,476.8257337778141,0.00015202814052009498,1.0,0.10735223530575708,15132.387751969036
23,0.20731004911972128,1621.3931728523496,1229.5951090085875,0.0016241307107264188,1.0,0.016234622876635612,14115.600408621009
24,0.02587393715794703,114997.92500108913,5456.702729807292,0.06350333889394302,1.0,0.17907867617883064,11531.969447361213
25,0.07863625285246104,5305.4071938548295,1514.693456650789,0.0028870621655986573,1.0,0.234173480214344,13156.362377865113
26,0.08891494366359967,1126.3250921961667,1531.1791667408236,0.0003080966770477416,1.0,0.03297894806524578,13639.707705441035
27,0.012413965907432612,1861.326948407678,186.32766330668187,0.11882929964931413,1.0,0.023729339336798747,15381.972075538855
28,0.12297467867664899,6810.999319525292,159.3523932860666,0.012137876766204468,1.0,1.6244917063940134,27380.839362763843
29,0.041719381530872304,22696.008906393698,4532.806494552505,0.00010145959265125438,1.0,0.026905158676296143,5599.464088948647
30,0.5144721635911937,1139.878762176729,77.15983049776472,0.043924122956396916,1.0,0.5287319265529901,14443.936210452674
31,0.02459964217317497,238263.92563883465,356.3204301403708,0.0031118328812633,1.0,2.993375732651524,12058.322100491152
32,0.007629822320348017,4930.739527624151,124.39095952724642,0.0009598822246551148,1.0,0.0904467932743704,15690.174532759966
33,0.0063179725783536035,8085.409274834024,9.988549556501876,0.27430177012735146,1.0,1.385158389560227,15780.859838341908
34,0.032710875007146686,349953.5743395094,2110.5986971387924,0.0011481572721960221,1.0,0.4819716661489625,7068.135120822695
