,W,K,Kin_const,Max_effect,P_comp,D_comp,Deviation
0,0.04606949846370152,10663.13669788358,26796.502345921348,0.2236511691458319,1.0,0.06284825134236569,4610.8860605968375
1,0.04373229504520512,12394.366898731796,2.9866955211009056,0.1183861397384766,1.0,0.011572579367593356,5052.991437897224
2,0.04383016552740361,12350.644071317194,4.761404659602452,0.12602335273389864,1.0,0.04075919418748609,5041.781651842576
3,0.04024911307330843,22463.37054442605,82361.79394251415,0.7730087252187722,1.0,0.06020586344894927,4361.847244055414
4,0.04549907541132659,11070.993051165835,1808.2482676044808,0.2914180985518356,1.0,2.2486944497273047,4562.452206424321
5,0.04524336990598265,11095.99628158768,39707.33079468275,0.20180988104597386,1.0,0.0023582018755221395,4632.928947264575
6,0.046402912086358335,10229.930666497992,23974.290708767563,0.4133918926401031,1.0,0.25814751318199103,4529.9562609445065
7,0.046254568469184895,10432.113124780308,4837.1590363322775,0.5811999217009682,1.0,2.2101620549718217,4495.874298464032
8,6.317497760225054,2681.4816059133027,135.58969455466504,0.021772381833944376,1.0,1.0764309606432687,11197.937016676811
9,0.046715977264473685,10090.482041476613,35072.310177714164,0.21644217979538333,1.0,0.03999965099040347,4656.082970901647
10,0.04390945978505178,12263.632745231986,2.476554667056965,0.1200430685779804,1.0,0.01609272737166521,5055.935292543325
11,0.04424572488921328,12030.28251367535,14.608030548899636,0.11000327523972936,1.0,0.034396969548623146,5093.5062562786625
12,0.036414597135343285,13876793.848524084,42.12476939782475,6.6974867617678235,1.0,2.1481863250559114,4739.57214490494
13,0.046641206375292614,10151.823486638335,7845.74706135279,0.5421562929120605,1.0,1.2484518207572963,4519.078938892796
14,0.04675480077602979,10135.601235214996,2033.209445279817,0.3967307242797328,1.0,3.5123557335887177,4572.288168964683
15,0.04652352982376767,10200.10255613304,47595.21560785756,0.2678627609559227,1.0,0.033146241542377934,4586.908314998458
16,0.007271803907995085,5365.082339295177,383.0904508285729,0.00011558555691912022,1.0,0.04563689142694384,16009.503830904907
17,0.043491333263319484,12893.271426797857,10.2296850778069,0.1214610884526664,1.0,0.02390293344863052,5027.470301800475
18,0.0075366090092419845,5205.990432156641,141.68490274194411,0.00012833578960528446,1.0,0.2214846671974837,16008.634862869265
19,0.0365482504939258,1802521.275531001,43.98561338369791,5.030248981771906,1.0,0.16411565772500547,4736.880251120988
20,0.03699690538115312,330687.21739548125,80393.34025230218,1.2937313828275685,1.0,0.09476917553231336,4500.330977374542
21,0.04374598205607942,12556.171435684837,4.9450163985448565,0.12102675431789454,1.0,0.019155401267935003,5042.121924573785
