,W,K,Conc_level,Scale,Flag_consumption_model,Init_conc_comp,D_comp,Deviation
0,0.05017442633593959,10063.533571301718,0.002993728224546664,0.2756187646096913,1.0,1.0,0.0001322272591780059,3789.376439468472
1,0.03645804719158728,15429108.91472565,1.4903977504362849,6.863436884663191,1.0,1.0,1.6638367247970685e-06,4737.983852708564
2,0.04209217394864463,20446.812573832147,0.0016909246057961464,1.3565551106139275,1.0,1.0,0.00011752738901665704,3715.7520250897433
3,0.00863257425642952,4126.5910300378855,0.004808717126824814,0.02606078823107293,1.0,1.0,2.811267011861947e-06,16007.723470493374
4,0.03650187872423993,1519081.022364527,1.5365817621739122,2.536716428746414,1.0,1.0,3.294253924513102e-06,4738.42626298039
5,0.04736032903024751,12075.583185787937,8.517735635864249e-08,0.5108439732278491,1.0,1.0,0.0005644701305489338,3564.8469587407417
6,0.038300658854529976,437471.97618974297,0.0002773311178050686,1.0988779487901883,1.0,1.0,0.00029176767537013933,3876.7115325260884
7,0.038761704905076216,31911.44499362301,0.8943782142665126,0.8160422245034527,1.0,1.0,3.5177695528287693e-07,4756.795700971308
8,0.05324278735478657,10053.845810442168,1.4940390457283118e-06,0.4131584845062933,1.0,1.0,0.0002954548310560987,3689.099223921204
9,0.036614384763752464,3561243.623552822,9.070981575356305,1.2629919624934034,1.0,1.0,3.032734983672134e-05,4740.710379966802
10,0.04528753429095637,14260.84162837599,0.0020524669163729907,0.5271240625467071,1.0,1.0,0.0001339402390390321,3603.5311074733618
11,0.04506576259802245,12605.623982369716,0.0053889718887115716,0.6049083077427194,1.0,1.0,9.974871535428044e-05,3807.870198286708
12,0.05324678746010714,9711.34508659813,3.423442791630405e-05,0.3103847253140635,1.0,1.0,0.00022966379049174342,3754.4457275283617
13,0.04841962483670738,10621.9882998968,0.005108945287745796,0.3386330465583408,1.0,1.0,0.00011334726254148047,3822.6293079995703
14,0.036587276043120814,5665162.425636003,0.9621542366708946,2.7425915447313503,1.0,1.0,2.1055925137432723e-05,4738.719739590909
15,0.03782035850677321,2464590.446031888,0.0002074724185177623,4.104546602029962,1.0,1.0,0.0002384838182279974,3961.48521005836
16,0.03660291397866095,13327106.989823367,0.5040449592546725,15.589110163993814,1.0,1.0,5.909234132969553e-06,4740.061648805277
17,0.043851146687818435,16309.377087397746,0.0035529858866303423,0.4248865021748924,1.0,1.0,0.0001345880790330512,3685.337154037765
