,W,K,Slope,Min_effect,Flag_consumption_model,Init_conc_comp,D_comp,Deviation
0,0.0368269243068992,6549687.5437092325,3.664637149817223,0.0005203561285239825,1.0,1.0,1.5059415224480219e-06,4468.1779591530485
1,0.0458579718197123,10579.883995108105,0.30799322121393946,0.00018517340806134425,1.0,1.0,9.810990298234633e-06,4479.268261297108
2,0.04538496348147143,10849.95245536562,0.22063590560122576,0.000279611360205314,1.0,1.0,1.5749960886244376e-05,4506.013046996574
3,0.04521548558968115,10945.266439780116,0.5729346035371811,0.0003997371718550888,1.0,1.0,5.0740179592594535e-06,4408.862323066028
4,0.036427714446820456,10806992.801114626,0.05081423087644898,12.425458819331826,1.0,1.0,0.0006631011062911848,4738.912030123356
5,0.03814444181764415,39774.178005104695,0.016181371931331814,1.3010842715174094,1.0,1.0,1.6174511826887292e-06,4736.787835064521
6,0.04629409442584816,10292.28458257574,0.2030043202899137,0.00013600863550655687,1.0,1.0,1.6092435289603988e-05,4561.114849613668
7,0.03899444172781445,30999.496261317257,0.9956705377396948,0.00017447933291819695,1.0,1.0,4.661398473795976e-06,4361.031481971426
8,0.04539527878424485,11128.878853540326,0.1705712473765809,0.0012307613216601804,1.0,1.0,2.3298894663229252e-05,4569.713801324249
9,27.264695994072877,2321.359768761188,0.03295970922738057,0.017367697236099298,1.0,1.0,3.5630399128899178e-06,11631.870290217541
10,0.03663042614983573,3486333.146089992,0.04951368564644523,0.9878677870406396,1.0,1.0,0.0001381354389020325,4742.177663536273
11,0.045026795925947084,11198.645790739185,0.16547338707128065,0.0007428279791636604,1.0,1.0,2.526285956035633e-05,4567.747316253549
12,0.036807111874596524,3045490.682984748,1.6405021777878803,0.0021358767915805746,1.0,1.0,3.331517770884523e-06,4488.146719785103
13,0.04064020454446437,19432.030190007437,3.2093225433939017,0.00010258265431890178,1.0,1.0,1.315072458109178e-06,4288.34311418232
14,0.03643431816674565,3349169.8779874262,3.7907051615515743,0.0038406360521321186,1.0,1.0,0.0006110285598633965,4739.2054792926365
15,0.045317597989794144,10928.596366063204,0.32437080058134576,4.242028458260719e-05,1.0,1.0,9.76207751470159e-06,4444.827115252706
16,0.03661143620139262,2188805.1622053618,1.966010311543079,0.019184027960933308,1.0,1.0,0.0007381358865526477,4739.303352901576
17,0.0408906116259939,16176.538608798892,2.7313377708723583,0.12823982572396128,1.0,1.0,0.0007910872844574367,4864.285215936903
18,0.03639228184714082,5473652.520046776,4.70326243452686,0.0034102448285556184,1.0,1.0,0.0006618390946543513,4741.30449296186
19,0.0456439305150278,10862.504899693622,0.3060765768321872,2.072175935389112e-05,1.0,1.0,1.0142791801588157e-05,4461.78177893963
20,0.03656031617130902,5369612.479271965,4.228473633733539,0.008903184034830891,1.0,1.0,0.0002477641419603497,4737.744597500542
21,0.038293144371887786,45732.14618123689,2.083431927889311,0.00024109666287904424,1.0,1.0,2.1560870031462715e-06,4381.601149825514
22,0.036560819226133634,15083317.334046012,1.7119544242446565,0.0816691961446464,1.0,1.0,0.0007350947311812702,4738.7500634517355
23,0.03656511860179226,8636574.019117793,3.437234129023608,0.046326850430050213,1.0,1.0,0.0002512421010790209,4738.134124619237
24,2.173698554932181,2950.330677055103,0.04071400080444378,0.0014050789489884706,1.0,1.0,7.939994296590806e-06,11220.975769064682
25,0.036596103493096485,560916.4735219581,2.2478246979196665,0.016694485354006233,1.0,1.0,0.0001424404578803548,4735.417022705539
26,0.03650859137935309,7542743.936083644,6.163214647633293,0.026153156493285742,1.0,1.0,0.00022980285878229043,4737.078560943199
27,0.036485136910916566,3345511.3331363713,0.05228589068599465,2.7795598489417475,1.0,1.0,3.2507339810986344e-06,4737.709593629057
28,0.039332903406110085,27983.412566849882,0.015185197748863937,8.201202686101844,1.0,1.0,0.0007023829723699725,4805.474413068324
29,0.04610620211863422,10485.169375528982,0.1963229542814292,0.00010006999145651469,1.0,1.0,1.7230087454211552e-05,4554.1584785775785
30,0.04027391150472515,21797.9920405916,1.4159545926721258,0.00048208715793088047,1.0,1.0,2.9362820999702234e-06,4312.874109977724
31,0.03859987500885833,35378.2475968694,0.4772197804193147,0.0005146001755663579,1.0,1.0,1.2192363346049496e-05,4427.579881490118
32,0.0365432713753591,3191446.8291228605,1.9981521033837144,0.0007881162085917782,1.0,1.0,0.00017711973411377318,4736.994251071019
33,0.04603501925003595,10557.269999141125,1.3571305057936345,4.698507469145487e-05,1.0,1.0,1.902338801054388e-06,4416.140498755488
34,0.04606680017987915,10452.803921794906,0.824152607205526,0.00020014896660758798,1.0,1.0,3.260543556175744e-06,4430.76005801878
35,0.037371976808550464,102512.10960368713,0.8614445185595964,0.0003612995611429642,1.0,1.0,5.9845829562836636e-06,4454.980202400367
36,0.037932186064447385,61376.86911874598,0.3626573087507751,0.0005024196742096416,1.0,1.0,1.5752796718846744e-05,4482.79403869836
37,0.04484292482187393,11440.8357545424,0.6289758393020314,5.517910044276012e-05,1.0,1.0,4.7362429990895274e-06,4375.461603022133
38,0.037766884381499416,64066.201009156524,7.4339779845993075,0.0007352910180460705,1.0,1.0,6.384622108329753e-07,4400.9235947067655
39,0.04245617353570305,14597.267817745205,0.812301341339086,0.00038439604551472796,1.0,1.0,4.3440292714111865e-06,4306.6449461615375
40,0.03658553142090838,1323507.473078657,2.8704087305869352,0.0006539708277514918,1.0,1.0,0.0004938382181082906,4737.240420820745
41,0.045786287837145605,10834.085226223442,0.16431848329042995,0.00010914614921573138,1.0,1.0,2.416365059540731e-05,4582.215650038926
42,0.0365442564190782,2091182.1076587946,4.356163619096201,0.006808095103138962,1.0,1.0,3.1789848555667643e-05,4733.388765159763
43,0.04136313864930071,15370.277638239846,0.03337686383946137,0.1854174919426904,1.0,1.0,0.0009223030966064515,4880.0774581471205
44,0.037756202528163016,73489.2867348266,0.7653610178126232,0.00014182428707795394,1.0,1.0,7.6242329728622494e-06,4447.526664568638
45,0.046110633569505115,10369.777688967297,0.16669780379247706,9.863665777440154e-05,1.0,1.0,2.231583499697519e-05,4599.643532145255
46,0.04527388390305124,10876.325816587172,0.8376937771853641,0.00012493729615126062,1.0,1.0,3.461291252158065e-06,4387.79902432703
47,0.03668535617987415,5903319.302476979,3.1109248552146047,0.002348414583792307,1.0,1.0,1.8716671298944855e-06,4488.753858727317
48,0.039223071767616594,22782.804594039677,8.526315454745427,0.002456698650971789,1.0,1.0,0.0009611868264076547,4775.9203942083395
49,0.03658149724760027,2733601.628896004,2.1258496770329587,0.006708834070875195,1.0,1.0,0.00040011011663058303,4738.246639504823
50,0.036489134724146284,1736004.923581177,5.7919613103270695,0.000183948482594306,1.0,1.0,0.00025400745249869243,4737.275712147663
51,0.036408411971479634,2388869.6638966585,3.579395050239916,0.9360006836511164,1.0,1.0,2.3128764975034922e-05,4740.330970234481
52,0.0453089142305669,10890.469718044838,1.0150260458658036,4.914220191962962e-05,1.0,1.0,2.7630419892959993e-06,4384.0660941690085
