,W,K,Slope,Min_effect,P_comp,D_comp,Deviation
0,0.03939247462412971,25017.641959004264,0.002546014122883475,0.0005904763559991606,1.0,0.15098060486436518,4777.29691993347
1,0.04577148216496078,10727.825357019734,2.611118818769964e-06,0.00010957970140497028,1.0,0.0010532901365462282,4378.4821658394185
2,0.03945161559761843,22979.18489755792,0.0006079547540956372,0.7724785759423166,1.0,0.023641368558414318,4773.900002590985
3,0.044218974344669655,12127.73909520701,1.8019018445317355e-08,0.11088565775171702,1.0,0.06128665031009264,5084.655562062725
4,0.03252825582788425,23305639.215643946,0.00035338924026551583,0.9938538588340108,1.0,0.5084757287538564,7154.915864229471
5,0.04534484287377175,10859.580882494869,2.6276583292560744e-06,0.00017237779054321282,1.0,0.0002807216504456072,4366.721478376393
6,0.045434454896505036,9669.778518867115,0.0006344317958395442,0.6462131544671175,1.0,0.020625085435558355,5446.301983241737
7,0.03887986205609073,33799.180524593656,7.645283371903298e-06,0.0003195624550720557,1.0,0.041438165400505184,4331.4435593098415
8,0.03666581498283858,3510800.382305042,0.00013950341700835596,0.0034866236360692627,1.0,1.0907663948769186,4518.67001146363
9,0.04572558935548078,10762.423626321372,1.781527211938319e-05,0.0001340924685900222,1.0,0.3328324595468467,4362.51984564805
10,0.0460872123332584,10611.297504227725,4.048332697412882e-06,7.354209930892104e-05,1.0,0.04067368645979439,4351.70409446983
11,0.04595700960628305,10679.433720227913,5.527213956565102e-06,8.027169421241095e-05,1.0,0.07410913530586156,4343.723506609806
12,0.07809358572881803,1583.5940572193806,0.008641348315237609,0.35247929751776097,1.0,0.021783701308820545,12598.869283252683
13,0.0364935414070619,7745149.65772443,1.9782415365422043e-06,1.8625687157277355,1.0,0.0146004099542781,4738.094802494372
14,0.03959224589868605,22274.84555921851,1.1962408146323214e-06,0.3321220646466654,1.0,0.3313316957205701,4781.734763728661
15,0.04584666428151302,10666.893167588109,4.942763183836393e-06,0.00013972955646587458,1.0,0.060153899160243364,4341.132658308402
16,0.04641646398132252,10337.70418000821,6.305709458998763e-05,0.00010395902100953336,1.0,1.34526431902574,4407.3765889893
