,W,K,empty_0,Max_effect,P_comp,D_comp,Deviation
0,0.04341068482356725,13100.752433345633,0.0,0.12271001156058965,1.0,0.04318693919370442,5019.182546774866
1,0.03658504157800026,11678418.505650666,0.0,2.8215635810779434,1.0,0.7608476042802219,4739.2533901388315
2,0.04116667230176796,16889.868499062046,0.0,0.20042269296087145,1.0,0.06936800338406722,4856.733403892883
3,0.043502278784142416,12998.916420336853,0.0,0.12492072380191288,1.0,0.02571563510201218,5019.7836630118045
4,0.03762687297523088,55653.67459600632,0.0,0.7910928981138243,1.0,0.08809735310301002,4733.950262761732
5,0.04386804924168944,12183.009582534172,0.0,0.11768687227634615,1.0,0.8058256885720328,5063.826513139151
6,0.04418484083290738,11873.12914441407,0.0,0.11533950901395545,1.0,0.41576822104261707,5084.83860234246
7,0.04236261353371285,14614.548753130492,0.0,0.15190997393527228,1.0,3.1136897070163627,4932.548487838792
8,0.04272424874135049,13339.168416508464,0.0,0.15543747247218187,1.0,0.35794393758630405,4963.256800906254
9,0.042767473200789725,13526.691066445752,0.0,0.13302764217126856,1.0,0.022894855005900158,4983.670824247525
10,0.04368980540731705,12644.519322041246,0.0,0.11568350923513132,1.0,0.5851069177391672,5051.379161012154
11,0.009520823999784857,2288.089404779698,0.0,0.00017322363157074952,1.0,1.1216275279768622,16010.47999802606
12,0.0364564680416748,3161237.765316344,0.0,1.7342222287065754,1.0,2.2964613998695307,4739.418500354272
13,0.04396080939782659,12475.749258651576,0.0,0.11418084419806572,1.0,0.0717818197673316,5064.577318284569
14,0.04356422215947852,12597.092394269192,0.0,0.12118512510716765,1.0,0.13971861282781656,5038.239831139083
15,0.043089624411829855,13357.769625950632,0.0,0.12464919897676435,1.0,0.5607203402952359,5004.784706520066
16,0.0443254970249422,12062.852380301922,0.0,0.108327328766368,1.0,0.08906977254189764,5099.891055631552
17,0.04469975043584018,11559.424421557105,0.0,0.10759532260354812,1.0,0.2716116277384012,5126.467445480289
18,0.043141888429711214,13347.725974532063,0.0,0.12479986320379365,1.0,0.05041513439418705,5004.999051347304
19,0.03980463511499595,20189.709225662587,0.0,9.843731894888872,1.0,0.3251767723203462,4794.6680252726455
20,0.04339211187441931,13169.91553826231,0.0,0.12398120070306234,1.0,0.6368648253346828,5015.164354556117
21,0.036597667014655465,2987770.6572056036,0.0,1.7132257605003818,1.0,0.33297881988009603,4739.373374304201
22,0.04219868959592539,13797.885652549663,0.0,0.19738347458213204,1.0,0.162355160746149,4930.025338282779
23,0.04317313106765398,13199.282305570398,0.0,0.12416815177285202,1.0,0.5841912644239767,5010.598414910557
24,0.038310958428625336,35065.84100313939,0.0,1.523727788630009,1.0,0.013210902156439431,4739.083969100039
25,0.04337548626584327,12793.588670247407,0.0,0.1231020032821787,1.0,0.4255488454015456,5026.535464371057
26,0.044089056646944506,11899.515239902725,0.0,0.1171316764377246,1.0,0.034948192653589144,5078.635801274598
27,0.04284080099782426,13546.492820196177,0.0,0.1315896630115024,1.0,0.15002920399469485,4985.041385102124
28,0.04355931944108591,12650.747523997883,0.0,0.12175394132124327,1.0,0.26909265939177496,5035.062525870295
29,0.044178949348073766,12105.90583565782,0.0,0.11491044140055053,1.0,0.011483398588704223,5077.663605854276
