W, K, Conc_level, Scale, empty_1, empty_2, empty_3, Flag_consumption_model, Init_conc_comp, D_comp, Deviation
0.015484845429918532, 17633.74694184668, 0.6333509821967064, 0.03459481302795808, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 15057.803077750208
0.015484845429918532, 17633.74694184668, 0.6333509821967064, 0.2556230141955992, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 14695.975467661268
0.015484845429918532, 130296.74538765191, 0.6333509821967064, 0.2556230141955992, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 14646.007346442817
0.015484845429918532, 130296.74538765191, 0.6333509821967064, 1.8888127920690283, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 14629.717674423411
0.04209217394864463, 130296.74538765191, 0.6333509821967064, 1.8888127920690283, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 11591.89951302935
0.04209217394864463, 43372.01883952044, 0.6333509821967064, 1.8888127920690283, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 8344.530542786184
0.04209217394864463, 12933.418021326814, 0.6333509821967064, 1.8888127920690283, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 4992.290795938717
0.04209217394864463, 12933.418021326814, 0.6333509821967064, 0.4990487360109158, 0, 0, 0, 1, 1.0, 0.0006506098300846134, 4980.54196186931
0.04209217394864463, 12933.418021326814, 0.6333509821967064, 0.4990487360109158, 0, 0, 0, 1, 1.0, 0.00015047698112947747, 4972.541317945831
0.04209217394864463, 12933.418021326814, 0.12653446766633367, 0.4990487360109158, 0, 0, 0, 1, 1.0, 0.00015047698112947747, 4919.075380187555
0.04209217394864463, 12933.418021326814, 0.021519376088958434, 0.4990487360109158, 0, 0, 0, 1, 1.0, 0.00015047698112947747, 4514.231361172452
0.04209217394864463, 12933.418021326814, 0.003065579564564306, 0.4990487360109158, 0, 0, 0, 1, 1.0, 0.00015047698112947747, 4355.990642413817
0.04209217394864463, 12933.418021326814, 0.003065579564564306, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00015047698112947747, 4246.489591772709
0.04209217394864463, 17027.24155596245, 0.003065579564564306, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00015047698112947747, 4069.782753879748
0.04209217394864463, 17027.24155596245, 0.003065579564564306, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00011119774726301964, 3858.5364799634217
0.04209217394864463, 17027.24155596245, 0.0021978654573792727, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00011119774726301964, 3789.965919296346
0.04209217394864463, 20446.812573832147, 0.0021978654573792727, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00011119774726301964, 3773.470271696548
0.04209217394864463, 20446.812573832147, 0.0017970975526546203, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00011119774726301964, 3746.239071183567
0.04209217394864463, 20446.812573832147, 0.0017970975526546203, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00011752738901665704, 3726.1217566584055
0.04209217394864463, 20446.812573832147, 0.0016909246057961464, 1.3565551106139275, 0, 0, 0, 1, 1.0, 0.00011752738901665704, 3715.752025089743
