W, K, Scale, Max_effect, empty_1, empty_2, empty_3, Flag_consumption_model, Init_conc_comp, D_comp, Deviation
0.15895768980834074, 90088.99114790316, 0.08998599291507754, 0.8789523268242324, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 426127.9311173817
0.021512583972849417, 90088.99114790316, 0.08998599291507754, 0.8789523268242324, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 13215.746821398037
0.021512583972849417, 665672.6094879232, 0.08998599291507754, 0.8789523268242324, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 13183.760819976245
0.035468254783759506, 665672.6094879232, 0.08998599291507754, 0.8789523268242324, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 5068.636522833262
0.035468254783759506, 1153779.059306607, 0.08998599291507754, 0.8789523268242324, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 5052.773399805115
0.035468254783759506, 1153779.059306607, 0.08998599291507754, 1.6095833900021659, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 5036.632781837092
0.035468254783759506, 2244634.481246694, 0.08998599291507754, 1.6095833900021659, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 5026.375765955664
0.035468254783759506, 4667355.76208086, 0.08998599291507754, 1.6095833900021659, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 5020.799771825312
0.035468254783759506, 4667355.76208086, 0.08998599291507754, 3.601067688167372, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 5015.644276640848
0.03646375325245444, 4667355.76208086, 0.08998599291507754, 3.601067688167372, 0, 0, 0, 1, 1.0, 1.3045516573441303e-06, 4738.021053437012
