W, K, Max_effect, TransitionWidth, TransitionConc, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.2761045244688037, 7296.466879063036, 0.6439796792810629, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 17067.306931177987
0.2761045244688037, 7296.466879063036, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 15854.329553985064
0.2761045244688037, 987.4694117045594, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 15772.048405435859
2.040151820468561, 987.4694117045594, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 15426.337112514635
15.07479625177769, 987.4694117045594, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 15282.21091568853
111.38851518433485, 987.4694117045594, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 15252.431105332222
111.38851518433485, 2684.2201579956472, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 15154.152584261887
111.38851518433485, 1548.6603111750685, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 14524.122151122443
111.38851518433485, 2095.7054810602394, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 13792.287117286982
111.38851518433485, 2184.7119557475917, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 13717.370335729483
111.38851518433485, 2235.2667101008687, 0.08715317229412566, 293.4598868009661, 64.26711336500426, 0, 0, 0, 1.0, 0.03333058214848732, 13676.973933309286
