W, K, Scale, Min_effect, empty_1, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.5713270933564302, 2452.2211543408794, 4060.404167006693, 0.07783196223731322, 0, 0, 0, 0, 1.0, 1.8535917149691556, 16784.26603076191
0.07732071400014315, 2452.2211543408794, 4060.404167006693, 0.07783196223731322, 0, 0, 0, 0, 1.0, 1.8535917149691556, 10977.099859813237
0.07732071400014315, 2452.2211543408794, 4060.404167006693, 0.010533410654248128, 0, 0, 0, 0, 1.0, 1.8535917149691556, 10280.652260021543
0.07732071400014315, 2452.2211543408794, 4060.404167006693, 0.0014255421143402243, 0, 0, 0, 0, 1.0, 1.8535917149691556, 10138.016565269114
0.07732071400014315, 2452.2211543408794, 4060.404167006693, 0.00019292614580995398, 0, 0, 0, 0, 1.0, 1.8535917149691556, 10117.999500925765
0.07732071400014315, 4043.02917762263, 4060.404167006693, 0.00019292614580995398, 0, 0, 0, 0, 1.0, 1.8535917149691556, 7940.791502479389
0.07732071400014315, 4043.02917762263, 4060.404167006693, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 1.8535917149691556, 7931.981242379216
0.07732071400014315, 4043.02917762263, 5494.691900290983, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 1.8535917149691556, 7270.424997074224
0.07732071400014315, 5639.211255740832, 5494.691900290983, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 1.8535917149691556, 6798.89182807103
0.07732071400014315, 5639.211255740832, 5494.691900290983, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 2.6728631118832844, 6700.932878984508
0.07732071400014315, 5639.211255740832, 4492.766986009419, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 2.6728631118832844, 6149.824417117478
0.06921650364371215, 5639.211255740832, 4492.766986009419, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 2.6728631118832844, 5996.074341694064
0.06921650364371215, 6369.614987326348, 4492.766986009419, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 2.6728631118832844, 5578.680201546526
0.06921650364371215, 6369.614987326348, 3929.4303511482344, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 2.6728631118832844, 5505.178945895241
0.0642996032421103, 6369.614987326348, 3929.4303511482344, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 2.6728631118832844, 5154.366948481986
0.0642996032421103, 6369.614987326348, 3623.4985691254537, 0.00011130870324249107, 0, 0, 0, 0, 1.0, 2.6728631118832844, 5019.064353866334
