W, K, Slope, Min_effect, empty_1, empty_2, empty_3, Flag_consumption_model, Init_conc_comp, D_comp, Deviation
0.05063602072202487, 1089.942101755568, 0.0354255003351855, 0.0032237372772898204, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 14797.691068438771
0.05063602072202487, 8053.643334458272, 0.0354255003351855, 0.0032237372772898204, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 11811.112996966154
0.05063602072202487, 8053.643334458272, 0.26176100930937224, 0.0032237372772898204, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4970.082788640785
0.05063602072202487, 8053.643334458272, 0.26176100930937224, 0.0004362853975024445, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4894.603825856287
0.05063602072202487, 8053.643334458272, 0.26176100930937224, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4884.439139188286
0.05063602072202487, 8573.058703631583, 0.26176100930937224, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4872.219513228681
0.047271765577133217, 8573.058703631583, 0.26176100930937224, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4795.536989556281
0.047271765577133217, 9246.541384024114, 0.26176100930937224, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4644.114623494417
0.047271765577133217, 10048.637741164986, 0.26176100930937224, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4586.395312778544
0.047271765577133217, 10048.637741164986, 0.28684389825394424, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4565.181996577841
0.04609705090477749, 10048.637741164986, 0.28684389825394424, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4530.224166146929
0.04609705090477749, 10330.675962238674, 0.28684389825394424, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4507.709272464969
0.04609705090477749, 10650.069548261645, 0.28684389825394424, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4497.279515604444
0.04609705090477749, 10650.069548261645, 0.29661403091101224, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4488.199120367729
0.04609705090477749, 10650.069548261645, 0.30774596912565133, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4483.065607379671
0.04517235855094639, 10650.069548261645, 0.30774596912565133, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4475.264670158767
0.04517235855094639, 10890.124798034358, 0.30774596912565133, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4456.541184689537
0.04517235855094639, 11160.439840937808, 0.30774596912565133, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4444.348568770493
0.04517235855094639, 11160.439840937808, 0.31615908990185293, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4437.427803817427
0.04517235855094639, 11160.439840937808, 0.3256794097086024, 5.904480784299149e-05, 0, 0, 0, 1, 1.0, 1.021654330318536e-05, 4432.716649268676
