,Starting density,1-cell,4-cells,8-cells,16-cells
0,50.0,0.0,201.66666666666666,402.3333333333333,0.0
1,100.0,0.0,311.0,429.0,0.0
2,200.0,1492.3333333333333,0.0,0.0,0.0
3,300.0,2093.0,0.0,0.0,0.0
4,400.0,3018.3333333333335,0.0,0.0,0.0
5,500.0,4120.0,0.0,0.0,0.0
