W, K, Conc_treshold, Slope, empty_1, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.4103441808875924, 4149.886105701026, 0.0006331312371335393, 0.018867161394643586, 0, 0, 0, 0, 1.0, 1.5732687892453083, 15651.951239331815
0.4103441808875924, 4149.886105701026, 8.568499530341453e-05, 0.018867161394643586, 0, 0, 0, 0, 1.0, 1.5732687892453083, 14715.220960616245
0.4103441808875924, 4149.886105701026, 8.568499530341453e-05, 0.002553392631214974, 0, 0, 0, 0, 1.0, 1.5732687892453083, 14499.242154873042
0.15095718795288074, 4149.886105701026, 8.568499530341453e-05, 0.002553392631214974, 0, 0, 0, 0, 1.0, 1.5732687892453083, 14395.45059897496
0.15095718795288074, 4149.886105701026, 2.8522057243312452e-05, 0.002553392631214974, 0, 0, 0, 0, 1.0, 1.5732687892453083, 13468.811176538784
0.15095718795288074, 4149.886105701026, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 13443.030081724386
0.15095718795288074, 8073.449913106551, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 13055.717030793212
0.10468661550996779, 8073.449913106551, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 12847.328675928618
0.10468661550996779, 12075.85964885835, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 12495.925381747875
0.10468661550996779, 18804.54581836756, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 12262.555927460851
0.10468661550996779, 30608.50508999817, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 12140.408776219245
0.10468661550996779, 52309.34924536863, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 12095.547772570912
0.09725004135862289, 52309.34924536863, 2.8522057243312452e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 12023.606471399606
0.09725004135862289, 52309.34924536863, 2.6301429055602615e-05, 0.0007614147359446269, 0, 0, 0, 0, 1.0, 1.5732687892453083, 11988.56518425561
