W, K, Kin_const, Max_effect, empty_1, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.3018336481852651, 2466.4752723726656, 2056.7395817456504, 0.37211321308116346, 0, 0, 0, 0, 1.0, 0.04541433149563037, 16581.955222869656
0.3018336481852651, 2466.4752723726656, 2056.7395817456504, 0.05036004708842527, 0, 0, 0, 0, 1.0, 0.04541433149563037, 14366.914060698946
0.3018336481852651, 2466.4752723726656, 2056.7395817456504, 0.05036004708842527, 0, 0, 0, 0, 1.0, 0.3355690431166459, 14301.053641957553
2.2302657589858215, 2466.4752723726656, 2056.7395817456504, 0.05036004708842527, 0, 0, 0, 0, 1.0, 0.3355690431166459, 14267.794173140837
6.062490885285579, 2466.4752723726656, 2056.7395817456504, 0.05036004708842527, 0, 0, 0, 0, 1.0, 0.3355690431166459, 13803.631824666292
6.062490885285579, 2466.4752723726656, 6178.787171586081, 0.05036004708842527, 0, 0, 0, 0, 1.0, 0.3355690431166459, 13658.865080831863
6.062490885285579, 2466.4752723726656, 3374.077662052661, 0.05036004708842527, 0, 0, 0, 0, 1.0, 0.3355690431166459, 13564.723863323949
6.062490885285579, 2680.4310368887136, 3374.077662052661, 0.05036004708842527, 0, 0, 0, 0, 1.0, 0.3355690431166459, 13448.168094556575
6.062490885285579, 2680.4310368887136, 3374.077662052661, 0.05518572938425359, 0, 0, 0, 0, 1.0, 0.3355690431166459, 13427.288920303343
6.062490885285579, 2818.78531769688, 3374.077662052661, 0.05518572938425359, 0, 0, 0, 0, 1.0, 0.3355690431166459, 13376.612665173348
6.062490885285579, 2818.78531769688, 3374.077662052661, 0.05832703310229818, 0, 0, 0, 0, 1.0, 0.3355690431166459, 13361.708217765014
