W, K, Conc_treshold, Max_effect, empty_1, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.004085454203272244, 1513.4715119274651, 4309.699969575842, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 16122.564740335727
0.030187650297590636, 1513.4715119274651, 4309.699969575842, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 16061.80898887359
0.22305824154379775, 1513.4715119274651, 4309.699969575842, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 15571.482066837543
0.22305824154379775, 1513.4715119274651, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 15190.489642116589
1.6481898600959448, 1513.4715119274651, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 14900.339126946026
12.178567337937597, 1513.4715119274651, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 14567.750131129209
12.178567337937597, 1943.3358887476893, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 14198.207116352025
12.178567337937597, 2229.7869140258517, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 13925.794573349114
14.167174465174819, 2229.7869140258517, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 13878.811300464618
14.167174465174819, 2324.487946358422, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 13831.779766115922
14.167174465174819, 2378.277150384218, 583.2544660473677, 0.0009837905634647543, 0, 0, 0, 0, 1.0, 0.01897798845190289, 13807.59901745047
