W, K, empty_0, Slope, empty_1, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.012368258076401321, 1221.785851849048, 0, 4.351655049364914e-06, 0, 0, 0, 0, 1.0, 0.03365214048404277, 15632.40613664536
0.09138975277258146, 1221.785851849048, 0, 4.351655049364914e-06, 0, 0, 0, 0, 1.0, 0.03365214048404277, 13136.662278503221
0.09138975277258146, 3321.1582793496223, 0, 4.351655049364914e-06, 0, 0, 0, 0, 1.0, 0.03365214048404277, 10404.284252966136
0.09138975277258146, 3321.1582793496223, 0, 1.4485401321623187e-06, 0, 0, 0, 0, 1.0, 0.03365214048404277, 9149.140630193458
0.09138975277258146, 4494.316512974021, 0, 1.4485401321623187e-06, 0, 0, 0, 0, 1.0, 0.03365214048404277, 8624.382526740386
0.06552182924857013, 4494.316512974021, 0, 1.4485401321623187e-06, 0, 0, 0, 0, 1.0, 0.03365214048404277, 7517.95107790675
0.06552182924857013, 6480.76527513831, 0, 1.4485401321623187e-06, 0, 0, 0, 0, 1.0, 0.03365214048404277, 6413.61535537407
0.06552182924857013, 6480.76527513831, 0, 1.4485401321623187e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 6379.365941634548
0.058654294538950366, 6480.76527513831, 0, 1.4485401321623187e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5941.362633816505
0.058654294538950366, 6480.76527513831, 0, 1.636158412432569e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5746.665577672323
0.058654294538950366, 6480.76527513831, 0, 1.8707237035288336e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5636.9236449638465
0.05448769684631413, 6480.76527513831, 0, 1.8707237035288336e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5583.36095516762
0.05448769684631413, 7027.935925732206, 0, 1.8707237035288336e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5338.740707875333
0.05448769684631413, 7683.329257908847, 0, 1.8707237035288336e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5219.104674568334
0.05448769684631413, 7683.329257908847, 0, 2.0634952122629773e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5144.510620172353
0.05448769684631413, 7683.329257908847, 0, 2.298564334056647e-06, 0, 0, 0, 0, 1.0, 0.022498511788552455, 5127.763299905595
0.05448769684631413, 7683.329257908847, 0, 2.298564334056647e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 5120.431892584873
0.05104488928236451, 7683.329257908847, 0, 2.298564334056647e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4974.022850891471
0.05104488928236451, 8255.250344019007, 0, 2.298564334056647e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4850.65984341874
0.05104488928236451, 8255.250344019007, 0, 2.487456801474757e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4785.292724653848
0.05104488928236451, 8255.250344019007, 0, 2.7132156866608725e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4752.293150560866
0.049839864605479296, 8255.250344019007, 0, 2.7132156866608725e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4704.671954366024
0.049839864605479296, 8475.06819582607, 0, 2.7132156866608725e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4671.117579758422
0.049839864605479296, 8723.634279655109, 0, 2.7132156866608725e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4651.140234649699
0.049839864605479296, 8723.634279655109, 0, 2.800876714970292e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4639.994605983431
0.04812671431074095, 8723.634279655109, 0, 2.800876714970292e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4634.991161133228
0.04812671431074095, 9065.821329306915, 0, 2.800876714970292e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4573.036520872311
0.04812671431074095, 9457.750032322301, 0, 2.800876714970292e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4536.863437095248
0.04812671431074095, 9457.750032322301, 0, 2.934355557914089e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4509.740596215253
0.04812671431074095, 9457.750032322301, 0, 3.088540880948446e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4491.860398287348
0.04812671431074095, 9457.750032322301, 0, 3.267518338396812e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4485.6510119786
0.04665848562580521, 9457.750032322301, 0, 3.267518338396812e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4469.49809955636
0.04665848562580521, 9785.63386933286, 0, 3.267518338396812e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4424.841276679762
0.04665848562580521, 10159.450221546873, 0, 3.267518338396812e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4399.1311153252345
0.04665848562580521, 10159.450221546873, 0, 3.405080646568568e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4387.494736689809
0.04665848562580521, 10159.450221546873, 0, 3.5630975105685487e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4382.567902736185
0.04608006202335807, 10159.450221546873, 0, 3.5630975105685487e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4370.128597091503
0.04608006202335807, 10299.817963429557, 0, 3.5630975105685487e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4360.444419931592
0.04608006202335807, 10456.463499611296, 0, 3.5630975105685487e-06, 0, 0, 0, 0, 1.0, 0.025333331703599193, 4353.545811362379
