W, K, Effect, empty_0, empty_1, empty_2, empty_3, Flag_consumption_model, Init_conc_comp, D_comp, Deviation
0.0037380389716125824, 14376.0392000513, 0, 0.029900437844840574, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 15979.415266646543
0.02762057966123441, 14376.0392000513, 0, 0.029900437844840574, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 13402.926912703098
0.02762057966123441, 14376.0392000513, 0, 0.22093601261811607, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 11382.758925556182
0.02762057966123441, 106225.36012960516, 0, 0.22093601261811607, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 10824.086885400391
0.02762057966123441, 106225.36012960516, 0, 1.6325085915093096, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 10669.489375717463
0.02762057966123441, 784905.1451267637, 0, 1.6325085915093096, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 10577.914285390782
0.02762057966123441, 5799708.149680961, 0, 1.6325085915093096, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 10565.295225155252
0.035465526308673466, 5799708.149680961, 0, 1.6325085915093096, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 5020.462948988134
0.03670584970154526, 5799708.149680961, 0, 1.6325085915093096, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 4748.55577050351
0.03653276657515123, 5799708.149680961, 0, 1.6325085915093096, 0, 0, 0, 1, 1.0, 1.1383185821375014e-05, 4738.27045485872
