W, K, Conc_treshold, Max_effect, empty_1, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.00920933007876053, 2301.552890001535, 2775.726739934712, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.03686757598810332, 17065.978519411845
0.00920933007876053, 2301.552890001535, 2775.726739934712, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 16995.393627552672
0.00920933007876053, 2301.552890001535, 20510.000596679474, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 16680.18323809803
0.06804825658553097, 2301.552890001535, 20510.000596679474, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 16094.894725372304
0.5028123853449155, 2301.552890001535, 20510.000596679474, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 14893.46175504261
0.5028123853449155, 2301.552890001535, 151549.54499796574, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 14495.482494047168
3.715308922550716, 2301.552890001535, 151549.54499796574, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 14125.791943916314
27.452626053584833, 2301.552890001535, 151549.54499796574, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 13674.444689769305
27.452626053584833, 2301.552890001535, 55751.96192363799, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 13631.376779485488
27.452626053584833, 2382.044290708662, 55751.96192363799, 0.6291623791562112, 0, 0, 0, 0, 1.0, 0.272416587207684, 13576.129802569303
