W, K, Conc_treshold, Slope, empty_1, empty_2, empty_3, empty_4, P_comp, D_comp, Deviation
0.02490874831393875, 1107.1231302238568, 2.597024908574207, 5.280327474103129e-06, 0, 0, 0, 0, 1.0, 0.04564403650304627, 16499.61262314132
0.1840521386458377, 1107.1231302238568, 2.597024908574207, 5.280327474103129e-06, 0, 0, 0, 0, 1.0, 0.04564403650304627, 15769.611256005946
0.1840521386458377, 8180.594917647782, 2.597024908574207, 5.280327474103129e-06, 0, 0, 0, 0, 1.0, 0.04564403650304627, 15125.58862163598
0.1840521386458377, 8180.594917647782, 2.597024908574207, 5.280327474103129e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 13821.737966612145
0.1840521386458377, 8180.594917647782, 2.597024908574207, 1.4353418221167585e-05, 0, 0, 0, 0, 1.0, 0.3372663463026473, 13793.973818275754
0.1840521386458377, 8180.594917647782, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 13736.158792250146
0.10050616608283812, 8180.594917647782, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 13161.597341581171
0.10050616608283812, 15915.044809618097, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 12695.733512060266
0.10050616608283812, 33092.77154768181, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 12431.224031729558
0.10050616608283812, 74037.36337767575, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 12303.816408915372
0.10050616608283812, 179531.44547476398, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 12247.92663572599
0.10050616608283812, 475662.6698848519, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.3372663463026473, 12224.83299222836
0.10050616608283812, 475662.6698848519, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.44090153089208833, 12027.336598035336
0.09336655656254328, 475662.6698848519, 2.597024908574207, 8.28120192101446e-06, 0, 0, 0, 0, 1.0, 0.44090153089208833, 11942.182886559429
0.09336655656254328, 475662.6698848519, 2.597024908574207, 7.63645633842738e-06, 0, 0, 0, 0, 1.0, 0.44090153089208833, 11913.311291471462
